ticker,entry_date,exit_date,long_strike,short_strike,debit_paid,pnl,return_pct,days_held,entry_rsi,entry_buffer_pct,entry_analyst_pct,entry_iv,entry_trend_pct
MSFT,1/2/2026,,455.0,460.0,335.0500000000002,,,,,,,,
AMZN,12/23/2025,1/2/2026,220.0,225.0,365.04999999999995,19.90000000000009,5.45,10,49.6,4.8,96.0,63.0,0.8
AMD,12/31/2025,,195.0,200.0,370.04999999999995,,,,,,,,
CRWD,12/12/2025,12/16/2025,465.0,470.0,400.0500000000002,-90.10000000000036,-22.52,4,57.1,5.4,65.0,58.0,-1.3
CRWD,12/29/2025,12/31/2025,445.0,450.0,385.0500000000002,-15.100000000000364,-3.92,2,26.8,1.3,65.0,58.0,-4.2
TSLA,12/29/2025,,410.0,415.0,395.0500000000002,,,,,,,,
NVDA,12/2/2025,12/26/2025,165.0,170.0,363.04999999999995,107.89999999999986,29.72,24,38.5,6.6,94.0,17.0,2.1
HOOD,12/1/2025,12/12/2025,111.0,112.0,68.04999999999995,-3.099999999999909,-4.56,11,40.8,17.2,71.0,79.0,8.1
HOOD,12/12/2025,12/26/2025,113.0,114.0,68.04999999999995,2.900000000000091,4.26,14,59.1,14.6,71.0,79.0,5.2
AVGO,12/22/2025,,315.0,320.0,373.0500000000002,,,,,,,,
MSFT,12/11/2025,12/18/2025,455.0,460.0,383.0500000000002,36.899999999999636,9.63,7,53.2,3.8,96.0,37.0,1.2
